id,cycle,setting1,setting2,setting3,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,RUL
2.0,1.0,0.0034,0.0003,100.0,518.67,642.38,1587.95,1393.65,14.62,21.58,553.62,2387.93,9050.35,1.3,47.12,521.56,2387.95,8134.28,8.3462,0.03,392.0,2388.0,100.0,39.04,23.3588,252.0
2.0,2.0,0.0031,0.0003,100.0,518.67,641.9,1578.97,1396.59,14.62,21.58,554.0,2388.0,9052.14,1.3,47.02,521.98,2388.04,8139.61,8.4004,0.03,391.0,2388.0,100.0,38.96,23.4683,251.0
2.0,3.0,-0.0007,0.0005,100.0,518.67,641.85,1583.91,1391.46,14.62,21.57,553.63,2387.97,9051.37,1.3,47.28,521.95,2387.96,8130.65,8.3675,0.03,392.0,2388.0,100.0,38.93,23.3825,250.0
2.0,4.0,0.0049,-0.0004,100.0,518.67,642.07,1579.51,1391.48,14.62,21.58,553.26,2387.93,9051.87,1.3,47.14,521.12,2387.95,8139.57,8.377,0.03,389.0,2388.0,100.0,38.85,23.3706,249.0
2.0,5.0,0.0003,-0.0001,100.0,518.67,642.16,1583.96,1395.68,14.62,21.58,553.82,2387.93,9047.34,1.3,46.84,521.62,2387.94,8135.4,8.3633,0.03,391.0,2388.0,100.0,39.23,23.4144,248.0
2.0,6.0,-0.0012,0.0002,100.0,518.67,642.18,1583.45,1395.03,14.62,21.58,553.74,2388.0,9056.36,1.3,47.05,521.85,2387.95,8135.5,8.4047,0.03,392.0,2388.0,100.0,39.13,23.4867,247.0
2.0,7.0,0.0051,-0.0004,100.0,518.67,642.75,1579.31,1393.29,14.62,21.58,553.28,2387.94,9041.23,1.3,47.09,521.56,2387.97,8136.95,8.3978,0.03,391.0,2388.0,100.0,39.05,23.3851,246.0
2.0,8.0,0.0005,0.0001,100.0,518.67,642.43,1589.99,1396.6,14.62,21.58,553.87,2387.99,9052.21,1.3,46.94,521.74,2387.94,8129.21,8.3793,0.03,390.0,2388.0,100.0,39.03,23.4174,245.0
2.0,9.0,-0.0004,0.0004,100.0,518.67,642.16,1577.07,1395.62,14.62,21.57,553.32,2387.98,9049.11,1.3,47.34,521.33,2387.99,8128.13,8.3744,0.03,392.0,2388.0,100.0,38.93,23.4609,244.0
2.0,10.0,0.0006,-0.0001,100.0,518.67,641.85,1587.17,1400.51,14.62,21.58,553.92,2387.92,9056.11,1.3,47.02,522.06,2387.99,8135.68,8.4046,0.03,393.0,2388.0,100.0,39.11,23.4301,243.0
2.0,11.0,-0.0018,0.0,100.0,518.67,641.97,1581.56,1384.74,14.62,21.58,553.03,2387.95,9046.22,1.3,47.09,521.84,2387.99,8130.78,8.3901,0.03,390.0,2388.0,100.0,39.01,23.3382,242.0
2.0,12.0,0.0033,0.0004,100.0,518.67,642.02,1586.0,1391.8,14.62,21.57,553.41,2387.98,9046.77,1.3,47.14,521.62,2387.95,8130.23,8.3762,0.03,391.0,2388.0,100.0,39.04,23.4495,241.0
2.0,13.0,0.0015,0.0002,100.0,518.67,642.04,1586.98,1396.97,14.62,21.58,553.28,2387.96,9054.85,1.3,46.91,521.42,2387.95,8132.7,8.384,0.03,391.0,2388.0,100.0,38.93,23.3283,240.0
2.0,14.0,0.0018,0.0001,100.0,518.67,642.1,1582.02,1389.36,14.62,21.58,553.82,2388.0,9043.46,1.3,47.14,521.45,2387.97,8139.32,8.4271,0.03,391.0,2388.0,100.0,39.01,23.4402,239.0
2.0,15.0,-0.0011,-0.0,100.0,518.67,641.65,1585.65,1397.7,14.62,21.57,553.45,2387.96,9044.96,1.3,47.05,521.73,2387.97,8132.71,8.3684,0.03,391.0,2388.0,100.0,39.19,23.5025,238.0
2.0,16.0,0.0019,-0.0,100.0,518.67,641.93,1577.45,1394.98,14.62,21.58,553.58,2387.95,9045.62,1.3,47.06,521.55,2387.95,8133.26,8.3934,0.03,392.0,2388.0,100.0,39.22,23.4058,237.0
2.0,17.0,0.0022,0.0005,100.0,518.67,642.03,1578.46,1397.59,14.62,21.57,553.75,2387.95,9049.59,1.3,47.04,521.14,2387.97,8138.48,8.429,0.03,391.0,2388.0,100.0,39.06,23.5077,236.0
2.0,18.0,-0.0031,0.0004,100.0,518.67,641.87,1591.05,1396.81,14.62,21.58,553.32,2388.02,9050.22,1.3,47.08,522.01,2387.98,8135.9,8.3957,0.03,391.0,2388.0,100.0,39.14,23.4434,235.0
2.0,19.0,0.0032,-0.0002,100.0,518.67,641.52,1576.3,1396.89,14.62,21.58,554.13,2387.92,9045.3,1.3,46.91,521.71,2387.93,8130.97,8.3587,0.03,391.0,2388.0,100.0,39.15,23.3773,234.0
2.0,20.0,0.0048,0.0001,100.0,518.67,642.31,1575.09,1395.13,14.62,21.58,553.55,2387.93,9044.52,1.3,47.07,521.93,2387.98,8139.89,8.3953,0.03,390.0,2388.0,100.0,38.98,23.3479,233.0
2.0,21.0,-0.003,-0.0002,100.0,518.67,642.09,1578.56,1394.7,14.62,21.58,553.34,2387.96,9044.37,1.3,47.21,521.37,2387.99,8136.5,8.4142,0.03,391.0,2388.0,100.0,39.1,23.4155,232.0
2.0,22.0,0.0007,-0.0002,100.0,518.67,641.95,1573.48,1389.61,14.62,21.57,553.24,2388.01,9047.02,1.3,47.19,521.51,2387.99,8135.31,8.3799,0.03,391.0,2388.0,100.0,39.18,23.4589,231.0
